Entity,Code,Year,Number of ongoing wars - Conflict type: civil war,Number of ongoing wars - Conflict type: others (non-civil)
World,OWID_WRL,1946,1,0
World,OWID_WRL,1947,1,1
World,OWID_WRL,1948,1,3
World,OWID_WRL,1949,1,2
World,OWID_WRL,1950,0,1
World,OWID_WRL,1951,0,1
World,OWID_WRL,1952,0,1
World,OWID_WRL,1953,0,1
World,OWID_WRL,1954,0,1
World,OWID_WRL,1955,0,1
World,OWID_WRL,1956,0,1
World,OWID_WRL,1957,0,0
World,OWID_WRL,1958,0,1
World,OWID_WRL,1959,0,0
World,OWID_WRL,1960,0,0
World,OWID_WRL,1961,0,0
World,OWID_WRL,1962,1,1
World,OWID_WRL,1963,1,0
World,OWID_WRL,1964,2,0
World,OWID_WRL,1965,2,2
World,OWID_WRL,1966,2,1
World,OWID_WRL,1967,3,2
World,OWID_WRL,1968,3,1
World,OWID_WRL,1969,3,3
World,OWID_WRL,1970,3,2
World,OWID_WRL,1971,2,1
World,OWID_WRL,1972,1,1
World,OWID_WRL,1973,1,2
World,OWID_WRL,1974,1,1
World,OWID_WRL,1975,2,2
World,OWID_WRL,1976,2,1
World,OWID_WRL,1977,2,1
World,OWID_WRL,1978,2,2
World,OWID_WRL,1979,1,4
World,OWID_WRL,1980,1,1
World,OWID_WRL,1981,1,1
World,OWID_WRL,1982,2,3
World,OWID_WRL,1983,3,1
World,OWID_WRL,1984,3,1
World,OWID_WRL,1985,2,1
World,OWID_WRL,1986,2,1
World,OWID_WRL,1987,2,3
World,OWID_WRL,1988,2,1
World,OWID_WRL,1989,2,0
World,OWID_WRL,1990,3,1
World,OWID_WRL,1991,5,1
World,OWID_WRL,1992,6,1
World,OWID_WRL,1993,4,1
World,OWID_WRL,1994,7,1
World,OWID_WRL,1995,5,0
World,OWID_WRL,1996,3,0
World,OWID_WRL,1997,3,0
World,OWID_WRL,1998,4,1
World,OWID_WRL,1999,5,2
World,OWID_WRL,2000,4,1
World,OWID_WRL,2001,3,1
World,OWID_WRL,2002,3,1
World,OWID_WRL,2003,0,1
World,OWID_WRL,2004,0,0
World,OWID_WRL,2005,0,0
World,OWID_WRL,2006,0,1
World,OWID_WRL,2007,0,0
World,OWID_WRL,2008,2,0
World,OWID_WRL,2009,1,0
World,OWID_WRL,2010,0,0
World,OWID_WRL,2011,1,0
